NAME,DATE,AWND,PRCP,TMAX,TMIN
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-09-2006,6.71,0.01,75,57
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-09-2006,6.93,0.91,63,60
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-09-2006,7.38,1.37,64,60
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-09-2006,7.61,0.15,70,59
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-09-2006,4.92,0.01,69,59
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-09-2006,2.68,0,72,57
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-09-2006,4.92,0.02,76,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-09-2006,8.72,0,81,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-09-2006,8.72,0.15,70,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-09-2006,8.5,0,58,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-09-2006,6.04,0,63,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-09-2006,8.28,0,69,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-09-2006,10.96,0.16,74,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-09-2006,13.42,0.07,72,59
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-09-2006,9.17,0,65,51
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-09-2006,5.59,0,69,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-09-2006,8.95,0,72,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-09-2006,6.49,0.67,60,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-09-2006,5.82,0.02,56,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-09-2006,8.72,0.12,57,43
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-10-2006,7.83,0,65,48
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-10-2006,6.04,0.01,71,43
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-10-2006,9.17,0,74,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-10-2006,9.62,0.09,78,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-10-2006,4.92,0.04,60,51
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-10-2006,6.49,0,59,43
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-10-2006,6.04,0,63,40
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-10-2006,3.36,0.01,74,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-10-2006,2.24,0,76,51
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-10-2006,2.46,0.01,74,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-10-2006,8.95,0.44,63,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-10-2006,12.97,0.04,56,32
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-10-2006,13.42,0,50,31
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-10-2006,11.18,0,51,38
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-10-2006,7.16,0,54,34
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-10-2006,5.82,0,59,36
