NAME,DATE,AWND,PRCP,TMAX,TMIN
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-08-2016,4.25,0,77,60
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-08-2016,3.8,0,80,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-08-2016,7.61,0,85,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-08-2016,8.72,0.6,88,71
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-08-2016,4.47,0,87,72
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-08-2016,4.7,0,88,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-08-2016,5.14,0.8,90,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-08-2016,3.36,0,85,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-08-2016,2.68,0,86,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",31-08-2016,3.13,0.07,81,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-09-2016,7.61,0,77,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-09-2016,5.37,0,76,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-09-2016,4.03,0,78,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-09-2016,3.58,0,82,57
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-09-2016,3.8,0,84,59
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-09-2016,5.59,0,88,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-09-2016,7.16,0.21,89,71
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-09-2016,8.72,0,87,72
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-09-2016,4.7,0.28,80,72
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-09-2016,10.07,0,89,69
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-09-2016,5.59,0.07,76,60
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-09-2016,3.8,0,79,55
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-09-2016,7.16,0,83,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-09-2016,4.92,0.01,84,60
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-09-2016,4.47,0,75,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-09-2016,6.26,0,82,57
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",17-09-2016,8.5,0.04,79,66
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",18-09-2016,5.59,0.46,74,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",19-09-2016,2.91,0.05,81,67
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",20-09-2016,2.01,0,85,60
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",21-09-2016,3.36,0,85,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",22-09-2016,2.91,0,85,62
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",23-09-2016,3.8,0,87,61
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",24-09-2016,5.14,0,72,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",25-09-2016,3.8,0,76,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",26-09-2016,6.93,0.27,81,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",27-09-2016,10.07,0,72,52
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",28-09-2016,8.72,0,75,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",29-09-2016,7.61,1.37,70,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",30-09-2016,8.05,0.46,66,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",01-10-2016,4.7,0.15,72,56
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",02-10-2016,5.59,0.11,67,58
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",03-10-2016,2.24,0,69,54
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",04-10-2016,5.37,0,74,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",05-10-2016,5.82,0,71,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",06-10-2016,4.7,0,75,49
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",07-10-2016,8.05,0.78,75,53
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",08-10-2016,5.82,0.09,64,50
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",09-10-2016,7.83,0,59,44
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",10-10-2016,3.13,0,61,42
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",11-10-2016,4.47,0,65,40
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",12-10-2016,7.61,0,73,46
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",13-10-2016,8.05,0.12,61,44
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14-10-2016,3.13,0,60,36
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",15-10-2016,7.16,0,75,42
"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",16-10-2016,9.62,0,78,59
